"ID","日期","縣市別","區域","新增確診人數","累計確診人數"
"83","2021-05-31","台中市","全區","5","133"
"84","2021-05-31","台中市","北屯區","3","24"
"85","2021-05-31","台中市","大雅區","1","9"
"86","2021-05-31","台中市","南屯區","1","3"
"87","2021-05-31","台北市","全區","122","2723"
"88","2021-05-31","台北市","萬華區","36","1247"
"89","2021-05-31","台北市","文山區","9","214"
"90","2021-05-31","台北市","信義區","10","171"
"91","2021-05-31","台北市","中正區","9","165"
"92","2021-05-31","台北市","士林區","12","139"
"93","2021-05-31","台北市","大同區","3","137"
"94","2021-05-31","台北市","大安區","6","135"
"95","2021-05-31","台北市","中山區","7","131"
"96","2021-05-31","台北市","北投區","6","110"
"97","2021-05-31","台北市","松山區","7","98"
"98","2021-05-31","台北市","內湖區","10","94"
"99","2021-05-31","台北市","南港區","7","82"
"100","2021-05-31","基隆市","全區","3","132"
"101","2021-05-31","基隆市","安樂區","2","28"
"102","2021-05-31","基隆市","七堵區","1","17"
"103","2021-05-31","境外移入","全區","4","1190"
"104","2021-05-31","境外移入","空值","4","1190"
"105","2021-05-31","彰化縣","全區","10","157"
"106","2021-05-31","彰化縣","溪湖鎮","4","53"
"107","2021-05-31","彰化縣","彰化市","2","17"
"108","2021-05-31","彰化縣","和美鎮","1","5"
"109","2021-05-31","彰化縣","埤頭鄉","2","5"
"110","2021-05-31","彰化縣","田尾鄉","1","2"
"111","2021-05-31","新北市","全區","171","3490"
"112","2021-05-31","新北市","板橋區","30","792"
"113","2021-05-31","新北市","中和區","31","560"
"114","2021-05-31","新北市","三重區","19","390"
"115","2021-05-31","新北市","新莊區","11","322"
"116","2021-05-31","新北市","永和區","24","294"
"117","2021-05-31","新北市","土城區","19","247"
"118","2021-05-31","新北市","新店區","3","203"
"119","2021-05-31","新北市","蘆洲區","8","134"
"120","2021-05-31","新北市","汐止區","2","94"
"121","2021-05-31","新北市","樹林區","1","91"
"122","2021-05-31","新北市","五股區","3","78"
"123","2021-05-31","新北市","淡水區","1","67"
"124","2021-05-31","新北市","林口區","17","62"
"125","2021-05-31","新北市","三峽區","1","45"
"126","2021-05-31","新北市","瑞芳區","1","7"
"127","2021-05-31","新竹市","全區","2","21"
"128","2021-05-31","新竹市","香山區","2","6"
"129","2021-05-31","新竹縣","全區","1","20"
"130","2021-05-31","新竹縣","竹北市","1","18"
"131","2021-05-31","桃園市","全區","27","355"
"132","2021-05-31","桃園市","桃園區","12","108"
"133","2021-05-31","桃園市","龜山區","7","85"
"134","2021-05-31","桃園市","中壢區","2","41"
"135","2021-05-31","桃園市","八德區","1","26"
"136","2021-05-31","桃園市","平鎮區","2","21"
"137","2021-05-31","桃園市","觀音區","2","7"
"138","2021-05-31","桃園市","大園區","1","6"
"139","2021-05-31","澎湖縣","全區","1","1"
"140","2021-05-31","澎湖縣","馬公市","1","1"
"141","2021-05-31","花蓮縣","全區","1","32"
"142","2021-05-31","花蓮縣","花蓮市","1","23"
"143","2021-05-31","苗栗縣","全區","3","23"
"144","2021-05-31","苗栗縣","造橋鄉","2","8"
"145","2021-05-31","苗栗縣","竹南鎮","1","2"
"146","2021-05-31","高雄市","全區","1","47"
"147","2021-05-31","高雄市","前鎮區","1","5"
"148","2021-05-30","南投縣","全區","4","20"
"149","2021-05-30","南投縣","埔里鎮","4","5"
"150","2021-05-30","台中市","全區","9","128"
"151","2021-05-30","台中市","北屯區","6","21"
"152","2021-05-30","台中市","潭子區","1","12"
"153","2021-05-30","台中市","龍井區","1","7"
"154","2021-05-30","台中市","西區","1","3"
"155","2021-05-30","台北市","全區","83","2601"
"156","2021-05-30","台北市","萬華區","19","1211"
"157","2021-05-30","台北市","文山區","7","205"
"158","2021-05-30","台北市","信義區","9","161"
"159","2021-05-30","台北市","中正區","6","156"
"160","2021-05-30","台北市","大同區","2","134"
"161","2021-05-30","台北市","大安區","7","129"
"162","2021-05-30","台北市","士林區","10","127"
"163","2021-05-30","台北市","中山區","4","124"
