"ID","日期","縣市別","區域","新增確診人數","累計確診人數"
"1","2021-06-11","台中市","全區","4","175"
"2","2021-06-11","台中市","北屯區","1","33"
"3","2021-06-11","台中市","南屯區","1","6"
"4","2021-06-11","台中市","大甲區","1","1"
"5","2021-06-11","台中市","大安區","1","1"
"6","2021-06-11","台北市","全區","47","3804"
"7","2021-06-11","台北市","萬華區","9","1571"
"8","2021-06-11","台北市","文山區","3","287"
"9","2021-06-11","台北市","士林區","6","248"
"10","2021-06-11","台北市","大同區","3","246"
"11","2021-06-11","台北市","中正區","2","224"
"12","2021-06-11","台北市","大安區","6","222"
"13","2021-06-11","台北市","信義區","1","222"
"14","2021-06-11","台北市","中山區","6","213"
"15","2021-06-11","台北市","北投區","1","170"
"16","2021-06-11","台北市","松山區","8","140"
"17","2021-06-11","台北市","南港區","2","119"
"18","2021-06-11","台南市","全區","1","40"
"19","2021-06-11","台南市","白河區","1","9"
"20","2021-06-11","基隆市","全區","8","226"
"21","2021-06-11","基隆市","中山區","4","53"
"22","2021-06-11","基隆市","安樂區","1","49"
"23","2021-06-11","基隆市","七堵區","1","31"
"24","2021-06-11","基隆市","暖暖區","2","18"
"25","2021-06-11","境外移入","全區","1","1206"
"26","2021-06-11","境外移入","空值","1","1206"
"27","2021-06-11","宜蘭縣","全區","3","90"
"28","2021-06-11","宜蘭縣","宜蘭市","1","25"
"29","2021-06-11","宜蘭縣","壯圍鄉","2","5"
"30","2021-06-11","彰化縣","全區","7","244"
"31","2021-06-11","彰化縣","溪湖鎮","1","59"
"32","2021-06-11","彰化縣","彰化市","6","24"
"33","2021-06-11","新北市","全區","121","5423"
"34","2021-06-11","新北市","板橋區","14","1155"
"35","2021-06-11","新北市","中和區","23","866"
"36","2021-06-11","新北市","三重區","22","673"
"37","2021-06-11","新北市","新莊區","11","486"
"38","2021-06-11","新北市","永和區","10","421"
"39","2021-06-11","新北市","土城區","3","384"
"40","2021-06-11","新北市","新店區","9","283"
"41","2021-06-11","新北市","蘆洲區","6","245"
"42","2021-06-11","新北市","汐止區","4","176"
"43","2021-06-11","新北市","樹林區","6","154"
"44","2021-06-11","新北市","五股區","2","122"
"45","2021-06-11","新北市","淡水區","2","119"
"46","2021-06-11","新北市","泰山區","1","81"
"47","2021-06-11","新北市","林口區","2","79"
"48","2021-06-11","新北市","石碇區","2","10"
"49","2021-06-11","新北市","萬里區","1","7"
"50","2021-06-11","新北市","金山區","2","6"
"51","2021-06-11","新北市","石門區","1","4"
"52","2021-06-11","新竹市","全區","3","33"
"53","2021-06-11","新竹市","東區","1","16"
"54","2021-06-11","新竹市","香山區","2","12"
"55","2021-06-11","新竹縣","全區","12","50"
"56","2021-06-11","新竹縣","竹東鎮","11","13"
"57","2021-06-11","新竹縣","橫山鄉","1","1"
"58","2021-06-11","桃園市","全區","20","549"
"59","2021-06-11","桃園市","桃園區","9","168"
"60","2021-06-11","桃園市","龜山區","4","126"
"61","2021-06-11","桃園市","八德區","2","52"
"62","2021-06-11","桃園市","蘆竹區","2","45"
"63","2021-06-11","桃園市","大溪區","3","23"
"64","2021-06-11","花蓮縣","全區","2","47"
"65","2021-06-11","花蓮縣","花蓮市","1","34"
"66","2021-06-11","花蓮縣","吉安鄉","1","9"
"67","2021-06-11","苗栗縣","全區","56","409"
"68","2021-06-11","苗栗縣","竹南鎮","50","335"
"69","2021-06-11","苗栗縣","頭份市","1","43"
"70","2021-06-11","苗栗縣","造橋鄉","1","11"
"71","2021-06-11","苗栗縣","苗栗市","4","5"
"72","2021-06-11","雲林縣","全區","2","18"
"73","2021-06-11","雲林縣","麥寮鄉","2","4"
"74","2021-06-10","南投縣","全區","2","31"
"75","2021-06-10","南投縣","草屯鎮","2","19"
"76","2021-06-10","台北市","全區","57","3757"
"77","2021-06-10","台北市","萬華區","16","1562"
"78","2021-06-10","台北市","文山區","1","284"
"79","2021-06-10","台北市","大同區","4","243"
"80","2021-06-10","台北市","士林區","10","242"
"81","2021-06-10","台北市","中正區","3","222"
"82","2021-06-10","台北市","信義區","3","221"
"83","2021-06-10","台北市","大安區","4","216"
"84","2021-06-10","台北市","中山區","4","207"
"85","2021-06-10","台北市","北投區","6","169"
"86","2021-06-10","台北市","內湖區","2","142"
"87","2021-06-10","台北市","松山區","3","132"
"88","2021-06-10","台北市","南港區","1","117"
"89","2021-06-10","台南市","全區","1","39"
"90","2021-06-10","台南市","大內區","1","2"
"91","2021-06-10","台東縣","全區","1","22"
"92","2021-06-10","台東縣","太麻里鄉","1","13"
"93","2021-06-10","基隆市","全區","12","218"
"94","2021-06-10","基隆市","安樂區","5","48"
"95","2021-06-10","基隆市","仁愛區","3","38"
"96","2021-06-10","基隆市","七堵區","3","30"
"97","2021-06-10","基隆市","中正區","1","20"
"98","2021-06-10","境外移入","全區","3","1205"
"99","2021-06-10","境外移入","空值","3","1205"
"100","2021-06-10","宜蘭縣","全區","1","87"
"101","2021-06-10","宜蘭縣","壯圍鄉","1","3"
"102","2021-06-10","彰化縣","全區","10","237"
"103","2021-06-10","彰化縣","溪湖鎮","1","58"
"104","2021-06-10","彰化縣","埔心鄉","1","31"
"105","2021-06-10","彰化縣","埤頭鄉","5","20"
"106","2021-06-10","彰化縣","秀水鄉","1","7"
"107","2021-06-10","彰化縣","福興鄉","1","6"
"108","2021-06-10","彰化縣","埔鹽鄉","1","3"
"109","2021-06-10","新北市","全區","112","5302"
"110","2021-06-10","新北市","板橋區","18","1141"
"111","2021-06-10","新北市","中和區","20","843"
"112","2021-06-10","新北市","三重區","17","651"
"113","2021-06-10","新北市","新莊區","7","475"
"114","2021-06-10","新北市","永和區","14","411"
"115","2021-06-10","新北市","土城區","4","381"
"116","2021-06-10","新北市","新店區","2","274"
"117","2021-06-10","新北市","蘆洲區","8","239"
"118","2021-06-10","新北市","汐止區","3","172"
"119","2021-06-10","新北市","樹林區","6","148"
"120","2021-06-10","新北市","淡水區","1","117"
"121","2021-06-10","新北市","泰山區","6","80"
"122","2021-06-10","新北市","三峽區","2","67"
"123","2021-06-10","新北市","八里區","1","26"
"124","2021-06-10","新北市","深坑區","1","21"
"125","2021-06-10","新北市","萬里區","1","6"
"126","2021-06-10","新北市","三芝區","1","3"
"127","2021-06-10","新竹市","全區","1","30"
"128","2021-06-10","新竹市","東區","1","15"
"129","2021-06-10","新竹縣","全區","2","38"
"130","2021-06-10","新竹縣","竹東鎮","2","2"
"131","2021-06-10","桃園市","全區","14","529"
"132","2021-06-10","桃園市","桃園區","6","159"
"133","2021-06-10","桃園市","龜山區","5","122"
"134","2021-06-10","桃園市","八德區","1","50"
"135","2021-06-10","桃園市","平鎮區","1","26"
"136","2021-06-10","桃園市","楊梅區","1","21"
"137","2021-06-10","花蓮縣","全區","7","45"
"138","2021-06-10","花蓮縣","花蓮市","7","33"
"139","2021-06-10","苗栗縣","全區","43","353"
"140","2021-06-10","苗栗縣","竹南鎮","40","285"
"141","2021-06-10","苗栗縣","頭份市","2","42"
"142","2021-06-10","苗栗縣","後龍鎮","1","9"
"143","2021-06-09","南投縣","全區","3","29"
"144","2021-06-09","南投縣","草屯鎮","3","17"
"145","2021-06-09","台中市","全區","1","171"
"146","2021-06-09","台中市","龍井區","1","11"
"147","2021-06-09","台北市","全區","60","3700"
"148","2021-06-09","台北市","萬華區","19","1546"
"149","2021-06-09","台北市","文山區","4","283"
"150","2021-06-09","台北市","大同區","8","239"
"151","2021-06-09","台北市","士林區","8","232"
"152","2021-06-09","台北市","中正區","3","219"
"153","2021-06-09","台北市","大安區","6","212"
"154","2021-06-09","台北市","中山區","4","203"
"155","2021-06-09","台北市","北投區","3","163"
"156","2021-06-09","台北市","內湖區","4","140"
"157","2021-06-09","台北市","松山區","1","129"
"158","2021-06-09","台南市","全區","1","38"
"159","2021-06-09","台南市","大內區","1","1"
"160","2021-06-09","嘉義市","全區","1","9"
"161","2021-06-09","嘉義市","西區","1","8"
"162","2021-06-09","基隆市","全區","11","206"
"163","2021-06-09","基隆市","安樂區","4","43"
"164","2021-06-09","基隆市","仁愛區","3","35"
"165","2021-06-09","基隆市","七堵區","1","27"
"166","2021-06-09","基隆市","信義區","2","17"
"167","2021-06-09","基隆市","暖暖區","1","16"
"168","2021-06-09","境外移入","全區","1","1202"
"169","2021-06-09","境外移入","空值","1","1202"
"170","2021-06-09","宜蘭縣","全區","2","86"
"171","2021-06-09","宜蘭縣","南澳鄉","1","7"
"172","2021-06-09","宜蘭縣","壯圍鄉","1","2"
"173","2021-06-09","彰化縣","全區","3","227"
"174","2021-06-09","彰化縣","埔心鄉","2","30"
"175","2021-06-09","彰化縣","北斗鎮","1","1"
"176","2021-06-09","新北市","全區","162","5190"
"177","2021-06-09","新北市","板橋區","31","1123"
"178","2021-06-09","新北市","中和區","25","823"
"179","2021-06-09","新北市","三重區","16","634"
"180","2021-06-09","新北市","新莊區","17","468"
"181","2021-06-09","新北市","永和區","20","397"
"182","2021-06-09","新北市","土城區","5","377"
"183","2021-06-09","新北市","新店區","11","272"
"184","2021-06-09","新北市","蘆洲區","9","231"
"185","2021-06-09","新北市","汐止區","1","169"
"186","2021-06-09","新北市","樹林區","5","142"
"187","2021-06-09","新北市","五股區","2","120"
"188","2021-06-09","新北市","淡水區","5","116"
"189","2021-06-09","新北市","林口區","2","77"
"190","2021-06-09","新北市","泰山區","6","74"
"191","2021-06-09","新北市","三峽區","1","65"
"192","2021-06-09","新北市","八里區","4","25"
"193","2021-06-09","新北市","石門區","2","3"
"194","2021-06-09","新竹縣","全區","1","36"
"195","2021-06-09","新竹縣","竹北市","1","28"
