進站,出站
淡水,紅樹林
紅樹林,竹圍
竹圍,關渡
關渡,忠義
忠義,復興崗
復興崗,北投
北投,奇岩
北投,新北投
奇岩,唭哩岸
唭哩岸,石牌
石牌,明德
明德,芝山
芝山,士林
士林,劍潭
劍潭,圓山
圓山,民權西路
民權西路,雙連
民權西路,大橋頭站
民權西路,中山國小
雙連,中山
中山,台北車站
中山,北門
中山,松江南京
台北車站,台大醫院
台北車站,西門
台北車站,善導寺
台大醫院,中正紀念堂
中正紀念堂,東門
中正紀念堂,小南門
中正紀念堂,古亭
東門,大安森林公園
東門,古亭
東門,忠孝新生
大安森林公園,大安
大安,信義安和
大安,科技大樓
大安,忠孝復興
信義安和,台北101/世貿
台北101/世貿,象山
動物園,木柵
木柵,萬芳社區
萬芳社區,萬芳醫院
萬芳醫院,辛亥
辛亥,麟光
麟光,六張犁
六張犁,科技大樓
科技大樓,大安
大安,忠孝復興
忠孝復興,南京復興
南京復興,台北小巨蛋
南京復興,松江南京
南京復興,中山國中
中山國中,松山機場
松山機場,大直
大直,劍南路
劍南路,西湖
西湖,港墘
港墘,文德
文德,內湖
內湖,大湖公園
大湖公園,葫洲
葫洲,東湖
東湖,南港軟體園區
南港軟體園區,南港展覽館
南港展覽館,南港
南港,昆陽
昆陽,後山埤
後山埤,永春
永春,市政府
市政府,國父紀念館
國父紀念館,忠孝敦化
忠孝敦化,忠孝復興
忠孝復興,忠孝新生
忠孝新生,松江南京
忠孝新生,東門
忠孝新生,善導寺
善導寺,台北車站
台北車站,西門
西門,小南門
西門,北門
西門,龍山寺
龍山寺,江子翠
江子翠,新埔
新埔,新埔民生
新埔,BL板橋
BL板橋,Y板橋
BL板橋,府中
府中,亞東醫院
亞東醫院,海山
海山,土城
土城,永寧
永寧,頂埔
松山,南京三民
南京三民,台北小巨蛋
台北小巨蛋,南京復興
松江南京,行天宮
松江南京,忠孝新生
松江南京,中山
中山,北門
北門,西門
小南門,中正紀念堂
中正紀念堂,古亭
古亭,頂溪
古亭,台電大樓
台電大樓,公館
公館,萬隆
萬隆,景美
景美,大坪林
大坪林,十四張
大坪林,七張
七張,小碧潭
七張,新店區公所
新店區公所,新店
南勢角,景安
景安,中和
景安,景平
景安,永安市場
永安市場,頂溪
頂溪,古亭
古亭,東門
東門,忠孝新生
忠孝新生,松江南京
松江南京,行天宮
行天宮,中山國小
中山國小,民權西路
民權西路,大橋頭站
大橋頭站,三重國小
大橋頭站,台北橋
三重國小,三和國中
三和國中,徐匯中學
徐匯中學,三民高中
三民高中,蘆洲
台北橋,菜寮
菜寮,三重
三重,先嗇宮
先嗇宮,頭前庄
頭前庄,新莊
頭前庄,幸福
頭前庄,新埔民生
新莊,輔大
輔大,丹鳳
丹鳳,迴龍
新北產業園區,幸福
新埔民生,Y板橋
Y板橋,板新
板新,中原
中原,橋和
橋和,中和
景平,秀朗橋
秀朗橋,十四張
